dates,ticker,title,link
24-03-05,A005490,"출범 앞둔 포스코 장인화호…국민연금 제동, 순항 변수 될까",https://finance.naver.com/item/news_read.naver?article_id=0000023773&office_id=648&code=005490&page=5&sm=
24-03-05,A005490,KT&G 차기 사장 선임에 등장한 변수들…포스코 회장은 '순항'중,https://finance.naver.com/item/news_read.naver?article_id=0003870114&office_id=079&code=005490&page=5&sm=
24-03-05,A005490,"""45만원이 얼마 만이냐""…포스코홀딩스 주주들 '방긋'",https://finance.naver.com/item/news_read.naver?article_id=0004955701&office_id=015&code=005490&page=5&sm=
24-03-04,A005490,"국민연금, 포스코 회장 선임 안건 논의",https://finance.naver.com/item/news_read.naver?article_id=0005267242&office_id=009&code=005490&page=5&sm=
24-03-04,A005490,"포스코 회장 선임, 수책위가 들여다본다",https://finance.naver.com/item/news_read.naver?article_id=0005266935&office_id=009&code=005490&page=5&sm=
24-03-04,A005490,"洪 “TK신공항 삼성·포스코 참여, 비서실장이 도와달라”…“사업성 높여...",https://finance.naver.com/item/news_read.naver?article_id=0004308028&office_id=011&code=005490&page=5&sm=
24-03-04,A005490,"포스코이앤씨, 선호도 높은 4베이 판상형 팜가든·펫가든 조경 특화",https://finance.naver.com/item/news_read.naver?article_id=0005267120&office_id=009&code=005490&page=5&sm=
24-03-04,A005490,"포스코, '격주 주 4일' 한 달…""목요일부터 설레""",https://finance.naver.com/item/news_read.naver?article_id=0004955378&office_id=015&code=005490&page=5&sm=
24-03-04,A005490,"포스코이앤씨, 새 아파트 귀한 강동구서 ‘더샵 둔촌포레’ 이달 공급",https://finance.naver.com/item/news_read.naver?article_id=0005266905&office_id=009&code=005490&page=5&sm=
24-03-04,A005490,장인화 포스코 회장 '무사안착' 예상…KT 때와는 다르다,https://finance.naver.com/item/news_read.naver?article_id=0002805492&office_id=119&code=005490&page=5&sm=
24-03-03,A005490,포스코 사외이사 겨냥한 국민연금…추가 입장 표명할까,https://finance.naver.com/item/news_read.naver?article_id=0005684292&office_id=018&code=005490&page=5&sm=
24-03-04,A005490,"'공사비 7000억' 개포주공5단지, 포스코이앤씨 입찰 철회",https://finance.naver.com/item/news_read.naver?article_id=0000985919&office_id=417&code=005490&page=5&sm=
24-03-04,A005490,"'대우가 꽉 잡은' 포스코인터, 포스코 색깔은 어디에",https://finance.naver.com/item/news_read.naver?article_id=0000985890&office_id=417&code=005490&page=5&sm=
24-03-01,A005490,"포스코 '격주 주4일' 시행 한달…""목요일부터 '놀금'이 설레요""",https://finance.naver.com/item/news_read.naver?article_id=0014536979&office_id=001&code=005490&page=6&sm=
24-02-29,A005490,"포스코 포항제철소, 안전보건 상생협력 우수기업으로 선정",https://finance.naver.com/item/news_read.naver?article_id=0003909163&office_id=022&code=005490&page=6&sm=
24-02-29,A005490,"포스코이앤씨, '더샵 금정위버시티' 994가구 분양",https://finance.naver.com/item/news_read.naver?article_id=0001150787&office_id=215&code=005490&page=6&sm=
24-02-29,A005490,"포스코이앤씨, 부산서 ‘더샵 금정위버시티’ 분양",https://finance.naver.com/item/news_read.naver?article_id=0002273828&office_id=016&code=005490&page=6&sm=
24-02-29,A005490,"포스코이앤씨, ‘더샵 금정위버시티’ 견본주택 열고 분양 나서",https://finance.naver.com/item/news_read.naver?article_id=0000974230&office_id=366&code=005490&page=6&sm=
24-02-29,A005490,"포스코이앤씨, '더샵 금정위버시티' 29일 견본주택 오픈",https://finance.naver.com/item/news_read.naver?article_id=0005149423&office_id=014&code=005490&page=6&sm=
24-02-29,A005490,"포스코이앤씨, 부산 '더샵 금정위버시티' 29일 견본주택 개관",https://finance.naver.com/item/news_read.naver?article_id=0005005733&office_id=008&code=005490&page=6&sm=
24-02-29,A005490,"포스코이앤씨, 부산 '더샵 금정위버시티' 견본주택 개관",https://finance.naver.com/item/news_read.naver?article_id=0012399640&office_id=003&code=005490&page=6&sm=
24-02-29,A005490,"포스코이앤씨, '더샵 금정위버시티' 29일 견본주택 오픈",https://finance.naver.com/item/news_read.naver?article_id=0004954163&office_id=015&code=005490&page=6&sm=
24-02-29,A005490,"남동발전·포스코홀딩스·삼성물산, 무탄소에너지 사업모델 개발",https://finance.naver.com/item/news_read.naver?article_id=0014535457&office_id=001&code=005490&page=6&sm=
24-02-29,A005490,"남동발전, 포스코홀딩스-삼성물산과 CFE 비즈니스 모델·브랜드 공동개...",https://finance.naver.com/item/news_read.naver?article_id=0002804751&office_id=119&code=005490&page=6&sm=
24-02-29,A005490,"남동발전·포스코·삼성물산, 무탄소 전력 브랜드화 추진",https://finance.naver.com/item/news_read.naver?article_id=0005683102&office_id=018&code=005490&page=6&sm=
24-02-29,A005490,"철강협회, 철강슬래그위원회 창립…초대 위원장에 조경석 포스코 실장",https://finance.naver.com/item/news_read.naver?article_id=0002273703&office_id=016&code=005490&page=6&sm=
24-02-29,A005490,포스코 이사회에 또 제동 건 국민연금…장인화號 영향은,https://finance.naver.com/item/news_read.naver?article_id=0005386286&office_id=277&code=005490&page=6&sm=
24-02-29,A005490,"김태현 국민연금 이사장, 포스코 사외이사 정조준",https://finance.naver.com/item/news_read.naver?article_id=0004306535&office_id=011&code=005490&page=6&sm=
24-02-29,A005490,"국민연금, 포스코 '호화 출장 의혹' 사외이사 재선임 제동",https://finance.naver.com/item/news_read.naver?article_id=0003868879&office_id=079&code=005490&page=6&sm=
24-02-29,A005490,"""포스코이사회 독립성 의문""…'호화출장' 콕 집은 김태현",https://finance.naver.com/item/news_read.naver?article_id=0005005520&office_id=008&code=005490&page=6&sm=
24-02-29,A005490,"국민연금, 포스코 사외이사 ‘호화출장 논란’ 재점화",https://finance.naver.com/item/news_read.naver?article_id=0003433772&office_id=081&code=005490&page=6&sm=
24-02-29,A005490,김태현 국민연금 이사장 “포스코 사외이사 독립성 의문”,https://finance.naver.com/item/news_read.naver?article_id=0003819401&office_id=023&code=005490&page=6&sm=
24-02-29,A005490,"국민연금, 포스코 ‘호화출장 의혹 사외이사 재선임’ 제동",https://finance.naver.com/item/news_read.naver?article_id=0003550632&office_id=020&code=005490&page=6&sm=
24-02-29,A005490,"""건설채 부진 속 대기업 계열은 탄탄""…포스코이앤씨 회사채 목표액 채워",https://finance.naver.com/item/news_read.naver?article_id=0004954217&office_id=015&code=005490&page=6&sm=
24-02-29,A005490,"포스코이앤씨, 숲과 더블역세권 누리는 '더샵 송파루미스타' 분양",https://finance.naver.com/item/news_read.naver?article_id=0002167852&office_id=138&code=005490&page=6&sm=
24-02-29,A005490,이시우 포스코 대표이사 취임,https://finance.naver.com/item/news_read.naver?article_id=0001677503&office_id=005&code=005490&page=6&sm=
24-02-28,A005490,"""포스코 이사회 독립성 의구심""",https://finance.naver.com/item/news_read.naver?article_id=0004954125&office_id=015&code=005490&page=7&sm=
24-02-28,A005490,김태현 국민연금 이사장 “포스코 이사회 독립성 의구심”,https://finance.naver.com/item/news_read.naver?article_id=0004954111&office_id=015&code=005490&page=7&sm=
24-02-28,A005490,김태현 국민연금 이사장 “포스코 호화 이사회 독립성 의구심”,https://finance.naver.com/item/news_read.naver?article_id=0005265199&office_id=009&code=005490&page=7&sm=
24-02-28,A005490,"김태현 국민연금 이사장 ""포스코 사외이사 재선임 과정에 의구심""",https://finance.naver.com/item/news_read.naver?article_id=0005005247&office_id=008&code=005490&page=7&sm=
24-02-28,A005490,"""포스코 이사회 독립성 의구심""",https://finance.naver.com/item/news_read.naver?article_id=0004954108&office_id=015&code=005490&page=7&sm=
24-02-28,A005490,"이시우 ""미래에도 포스코 핵심은 鐵""",https://finance.naver.com/item/news_read.naver?article_id=0004954086&office_id=015&code=005490&page=7&sm=
